Date,Item,Item,Rebecca,Justin,Robert
28,Pasmo,Transport,,500,
,Pasmo reload,Transport,5000,3000,5000
,Tokyo bus ,Transport,1000,1000,1000
,3-day tokyo pass,Transport,3000,3000,3000
,Prime pod ginza ,Hotel,22080,22080,22080
,Lawson,Food,460,843,400
,Doraemon museum ,Attraction,1000,,1000
,FF Osaka cafe,Food,1162,,1162
29,Uni scallop ,Food,333,333,333
,Tsukiji bowls,Food,2678,3542,2030
,Icecream,Food,300,400,400
,Drinks Tsujiri,Food,145,100,100
,Conbini,Food,86,86,157
,vending machine 2,Food,120,140,
,Souvenir coin,Coins,200,,
,ikayaki stand,Food,918,810,
,Takoyaki,Food,293,293,293
,Daiso,Merchadise,540,,
,Haunted house,Attraction,,800,1600
,Daiso monster hunter,merchdise,,850,
,Conbini,Food,100,,140
,Kaitenzushi,Food,1812,3738,1180
,Daiso,Food,1620,216,108
,Hello kitty store ,Merchadise,270,,
,Daiba store,Food,,1512,
,Conbini,Food,144,,
30,Dennys,food,592,1400,484
,Disney tickets,attraction,7400,7400,7400
,Penny,coins,700,,
,Popcorn ,food,310,310,310
,Disney lunch,food,1950,1830,1080
,disney keychain,merchandise,,1700,
,Disney souvenir ,souvenir,2960,14400,1460
,Disney snack ,food,720,,
,Pasmo reload,transport,,1000,
,Jonathans ,food,971,1294,1511
,lawsons,food,516,371,270
31,skytree tickets,attraction,2060,2060,2060
,Sky tree town ,attraction,700,,
,Purikura,merchadise,300,,300
,Sky tree souvenirs ,souvenir,648,,648
,food,food,900,1819,1080
,Bread ,food,399,,399
,Drinks ,food,420,330,330
,vending machine,food,130,140,130
,Sanrio folders ,merchadise,648,,
,milk ice cream,food,380,380,
,Pokemon centre ,merchadise,950,,
,Penny ,coins,200,,
,100yen,food,108,,108
,Kurikoan,food,,,360
,Drinks ,food,,150,130
,Tokyu hands ,merchandise,853,,
,Pokemon ,merchanidse,2030,,
,Vending machine ,food,,150,
,Jinbei ,merchadise,5184,,
,Coco curry,food,1204,1407,742
,Milky way ,food,749,749,749
1,first cabin,hotel,10000,10000,10000
,Nakau,foo,230,640,530
,Combini ,food,144,,
,Yodobashi ,food,1090,,
,Gacha,merchadise,,200,
,Pablo,food,430,,
,Kfc ,food,,1180,690
,Crane game ,merchadise,,300,
,Vending machine ,food,100,110,100
,Arcade ,att,,100,100
,Mcdonalds ,food,250,150,470
,Hanaomai ,food,1383,1382,1382
,Crepe,food,430,,
,Arcade ,att,,200,200
,7eleven,food,144,279,
2,vending machine,food,210,,
,honey toast,food,735,590,735
,Tokyo tower,attraction,900,900,900
,Token ,coins,650,,
,curry lab,food,1250,2000,1250
,Parfait store ,food,1200,1300,950
,Pennies ,coins,100,,
,ramen,food,890,1090,850
,Pharmacy,merchadise,144,300,338
3,yoshinoya,food,610,420,440
,Vending machine ,food,,,100
,Arcade games ,attraction,,200,200
,Crepe ,food,240,530,240
,Krispy Kreme ,food,,540,
,Combini ,food,144,600,144
,Cat cafe ,attraction,1000,1000,1000
,Isetan,food,831,1069,50
,Conbini,food,,129,129
,9 hours ,hotel,3000,3000,3000
,Wagyuuuuu,food,4839,4839,4839
,Combini ,food,349,565,198
4,Breakfast,Food,,,802
,Food market ,Food,870,870,
,Uobei,Food,906,1932,
,don quixote,Merchadise,,105,
,vending machine ,Food,,150,
,line store,Merchadise,1296,1620,12706
,kiddy land,Merchadise,5238,1800,
,Kawaii monster cafe booking ,Food,540,540,540
,Kawaii monster cafe ,Food,2323,2323,2323
,Combini,Food,,150,430
5,Penny,Coins,200,,
,Eggcellent,Food,2174,2144,2344
,Combini,Food,144,108,
,Doria,Food,1058,1393,1274
,Supermarket ,Food,,,138
,Penny,Coins,200,,
,Shinkansen ticket ,Transport,13250,,13250
,Combini ,Food,318,198,
,Locked up dinner,Food,2114,4407,2114
,don quijote,Merchadise,,4082,
,Daiso,Merchadise,216,108,648
,100yen,Merchadise,,21775,138
,Book off,Merchadise,,350,1000
,Combini,Food,428,,
6,Baggage to airport ,Transport,2686,,2686
,Tsukemen,Food,630,1160,730
,Narita express ,Transport,,3120,
,Tokyo station sticker ,Transport,250,,250
,Doraemon sticker ,Merchadise,200,,200
,Doraemon restaurant ,Food,1175,,1175
,Yokohama hotel ,Hotel,4568,,4568
,Gusto ,Food,1402,,917
,Waffle,Food,100,,100
7,Kimono,Attraction,11610,,11610
,Ekiben,Food,400,,911
,Photo snack ,Food,725,,725
,Comicap,Hotel,8082,,8082
,Mcdonalds,Food,195,,195
,Matcha dango,Food,150,,150
,pokemon kyoto,Merchadise,0,,0
,Gogyo Ramen,Food,2144,,2144
8,Omlette bacon burger ,Food,150,,150
,Japanese pancake,Food,125,,125
,Soybean milk croquette,Food,100,,100
,Honey ,Merchadise,2500,,2500
,Green tea ,Food,648,,648
,Daifuku,Food,150,,150
,Can do,Merchadise,324,,0
,Pasmo,Transport,1000,,1000
,Don quiote,Merchadise,437,,437
,Kaitensushi,Food,810,,810
,Train bread,Food,215,,215
,Dormy inn,Hotel,5148,,5148
9,Kushikatsu ,Fod,430,,430
,Icoca,Transport,0,,2000
,Combini,Food,100,,100
,Universal studio tickets,Merchadise,7900,,7900
,Hp lunch,Food,1750,,1750
,Butter beer ,Food,300,,300
,Penny,Coins,200,,
,Coke,Food,,,180
,Popcorn,Food,440,,440
,Saizeriya,Food,818,,818
10,Spaworld ,Attraction,1200,,1200
,Spaworld food,Food,1380,,1380
,Street mkt food,Food,550,,550
,Melon pan ice cream,Food,350,,350
,Fruit drink,Food,215,,215
,Scallop,Food,500,,0
,Waffle,Food,125,,125
,Meat ,Food,1430,,1430
11,Combini breakfast,Food,225,,225
,Subway bread,Food,600,,0
,Ramen,Food,200,,30
,Aqua tickets ,Attraction,2300,,2300
,Aqua merchandise,Merchadise,0,,0
,Aqua coins,Coins,700,,0
,Aqua ice cream ,Food,400,,0
,Subway reload,Transport,1000,,1000
,Fries ,Food,0,,450
,Popcorn ,Food,380,,600
,Fanta drink,Food,0,,100
,Zauo dinner,Food,1701,,1701
,Gyoza,Food,320,,320
,Popsicle,Food,0,,140
,Combini,Food,432,,0
12,Vending machine ,Food,80,,50
,Tonkotsu ,Food,1132,,1132
,Gatsby,Merchadise,0,,1014
,Uniqlo,Merchadise,4980,,5170
,Don quixote,Merchadise,5804,,2620
,Crab,Food,2950,,2950
,Pasmo load ,Transport,1000,,1000
,Washington hotel ,Hotel,8000,,8000
,Pancakes ,Food,200,,200
,Trial ,Merchadise,3090,,3090
,Mcdonalds ,Food,0,,640
,Combini ,Merchadise,250,,0
,Souvenirs ,Souvenir,0,,1500
,Uniqlo,Merchadise,0,,2580
